Sequence,Event,EventCat
0,0,11
0,1,2
0,2,11
0,3,0
0,4,11
0,5,1
0,6,0
0,7,1
0,8,11
0,9,0
0,10,1
0,11,0
0,12,1
0,13,0
0,14,1
0,15,0
0,16,1
0,17,0
0,18,1
0,19,11
0,20,2
0,21,0
0,22,1
0,23,0
0,24,1
0,25,0
0,26,1
0,27,0
0,28,1
0,29,0
0,30,11
0,31,1
0,32,0
0,33,1
0,34,0
0,35,1
0,36,2
0,37,0
0,38,1
0,39,0
0,40,11
0,41,1
0,42,0
0,43,1
0,44,0
0,45,1
0,46,0
0,47,11
0,48,1
0,49,11
0,50,0
0,51,1
0,52,0
0,53,1
0,54,2
0,55,0
0,56,1
0,57,11
0,58,0
0,59,1
0,60,0
0,61,1
0,62,0
0,63,1
0,64,11
0,65,0
0,66,1
0,67,0
0,68,1
0,69,0
0,70,1
0,71,2
0,72,0
0,73,11
0,74,1
0,75,11
0,76,0
0,77,1
0,78,0
0,79,1
0,80,0
0,81,1
0,82,0
0,83,11
0,84,1
0,85,0
0,86,1
0,87,11
0,88,0
0,89,1
0,90,2
0,91,0
0,92,1
0,93,0
0,94,10
0,95,0
0,96,1
0,97,11
0,98,0
0,99,1
0,100,0
0,101,1
0,102,0
0,103,1
0,104,0
0,105,1
0,106,11
0,107,2
0,108,0
0,109,1
0,110,11
0,111,0
0,112,1
0,113,0
0,114,11
0,115,1
0,116,0
0,117,11
0,118,1
0,119,0
0,120,10
0,121,0
0,122,11
0,123,1
0,124,0
0,125,1
0,126,2
0,127,0
0,128,11
0,129,1
0,130,0
0,131,1
0,132,0
0,133,1
0,134,0
0,135,1
0,136,0
0,137,11
0,138,1
0,139,0
0,140,1
0,141,0
0,142,11
0,143,1
0,144,2
0,145,0
0,146,1
0,147,0
0,148,11
0,149,1
0,150,0
0,151,1
0,152,10
0,153,1
0,154,0
0,155,1
0,156,0
0,157,1
0,158,0
0,159,1
0,160,2
0,161,0
0,162,11
0,163,1
0,164,0
0,165,1
0,166,0
0,167,11
0,168,1
0,169,0
0,170,11
0,171,1
0,172,11
0,173,0
0,174,1
0,175,0
0,176,1
0,177,11
0,178,0
0,179,1
0,180,2
0,181,11
0,182,0
0,183,11
0,184,1
0,185,0
0,186,1
0,187,0
0,188,11
0,189,1
0,190,0
0,191,11
0,192,1
0,193,0
0,194,1
0,195,0
0,196,1
0,197,0
0,198,1
0,199,2
0,200,0
0,201,1
0,202,0
0,203,11
0,204,1
0,205,0
0,206,1
0,207,0
0,208,1
0,209,0
0,210,1
0,211,10
0,212,11
0,213,1
0,214,0
0,215,11
0,216,1
0,217,11
0,218,2
0,219,0
0,220,1
0,221,11
0,222,0
0,223,1
0,224,0
0,225,1
0,226,0
0,227,1
0,228,0
0,229,1
0,230,0
0,231,1
0,232,0
0,233,1
0,234,2
0,235,11
0,236,0
0,237,1
0,238,0
0,239,1
1,0,0
1,1,2
1,2,11
1,3,0
1,4,2
1,5,0
1,6,2
1,7,0
1,8,2
1,9,0
1,10,2
1,11,0
1,12,11
1,13,2
1,14,11
1,15,0
1,16,11
1,17,2
1,18,0
1,19,2
1,20,11
1,21,0
1,22,2
1,23,0
1,24,2
1,25,0
1,26,2
1,27,0
1,28,2
1,29,0
1,30,2
1,31,0
1,32,2
1,33,0
1,34,2
1,35,0
1,36,2
1,37,0
1,38,2
1,39,0
1,40,2
1,41,11
1,42,0
1,43,2
1,44,11
1,45,0
1,46,2
1,47,0
1,48,2
1,49,11
1,50,0
1,51,2
1,52,0
1,53,2
1,54,0
1,55,11
1,56,2
1,57,0
1,58,11
1,59,2
1,60,0
1,61,11
1,62,1
1,63,0
1,64,1
1,65,0
1,66,1
1,67,0
1,68,1
1,69,0
1,70,1
1,71,11
1,72,0
1,73,1
1,74,10
1,75,1
1,76,0
1,77,1
1,78,0
1,79,1
1,80,11
1,81,0
1,82,1
1,83,11
1,84,0
1,85,1
1,86,0
1,87,1
1,88,11
1,89,0
1,90,1
1,91,0
1,92,1
1,93,0
1,94,1
1,95,0
1,96,1
1,97,11
1,98,0
1,99,11
1,100,1
1,101,0
1,102,1
1,103,0
1,104,1
1,105,11
1,106,0
1,107,1
1,108,10
1,109,11
1,110,1
1,111,0
1,112,1
1,113,0
1,114,11
1,115,1
1,116,0
1,117,1
1,118,0
1,119,1
1,120,0
1,121,2
1,122,11
1,123,0
1,124,2
1,125,0
1,126,2
1,127,0
1,128,2
1,129,11
1,130,0
1,131,2
1,132,0
1,133,2
1,134,0
1,135,11
1,136,2
1,137,11
1,138,0
1,139,2
1,140,0
1,141,2
1,142,0
1,143,2
1,144,11
1,145,0
1,146,2
1,147,0
1,148,2
1,149,0
1,150,2
1,151,0
1,152,2
1,153,0
1,154,2
1,155,0
1,156,9
1,157,0
1,158,2
1,159,11
1,160,0
1,161,2
1,162,0
1,163,11
1,164,2
1,165,0
1,166,11
1,167,2
1,168,0
1,169,11
1,170,2
1,171,0
1,172,2
1,173,11
1,174,0
1,175,2
1,176,0
1,177,2
1,178,0
1,179,2
1,180,0
1,181,1
1,182,0
1,183,1
1,184,0
1,185,1
1,186,0
1,187,1
1,188,0
1,189,1
1,190,11
1,191,0
1,192,1
1,193,11
1,194,0
1,195,11
1,196,1
1,197,0
1,198,1
1,199,0
1,200,1
1,201,0
1,202,11
1,203,1
1,204,0
1,205,11
1,206,1
1,207,0
1,208,1
1,209,0
1,210,1
1,211,0
1,212,1
1,213,0
1,214,1
1,215,11
1,216,0
1,217,1
1,218,0
1,219,1
1,220,0
1,221,1
1,222,0
1,223,1
1,224,0
1,225,1
1,226,11
1,227,10
1,228,11
1,229,1
1,230,0
1,231,1
1,232,0
1,233,1
1,234,11
1,235,0
1,236,1
1,237,0
1,238,11
1,239,1
2,0,11
2,1,2
2,2,0
2,3,1
2,4,0
2,5,1
2,6,0
2,7,1
2,8,0
2,9,1
2,10,0
2,11,11
2,12,1
2,13,11
2,14,0
2,15,1
2,16,0
2,17,1
2,18,2
2,19,11
2,20,0
2,21,1
2,22,11
2,23,0
2,24,1
2,25,0
2,26,1
2,27,0
2,28,1
2,29,0
2,30,1
2,31,0
2,32,1
2,33,0
2,34,1
2,35,2
2,36,11
2,37,0
2,38,1
2,39,0
2,40,11
2,41,1
2,42,0
2,43,11
2,44,1
2,45,0
2,46,11
2,47,1
2,48,0
2,49,1
2,50,0
2,51,1
2,52,0
2,53,11
2,54,1
2,55,2
2,56,0
2,57,1
2,58,0
2,59,1
2,60,0
2,61,1
2,62,11
2,63,0
2,64,1
2,65,0
2,66,1
2,67,0
2,68,1
2,69,11
2,70,0
2,71,1
2,72,2
2,73,0
2,74,1
2,75,0
2,76,11
2,77,1
2,78,11
2,79,0
2,80,1
2,81,0
2,82,1
2,83,0
2,84,1
2,85,0
2,86,11
2,87,1
2,88,0
2,89,1
2,90,11
2,91,2
2,92,0
2,93,1
2,94,11
2,95,10
2,96,1
2,97,0
2,98,1
2,99,0
2,100,1
2,101,0
2,102,1
2,103,0
2,104,1
2,105,0
2,106,1
2,107,2
2,108,0
2,109,1
2,110,0
2,111,1
2,112,11
2,113,10
2,114,11
2,115,1
2,116,0
2,117,11
2,118,1
2,119,0
2,120,1
2,121,0
2,122,1
2,123,0
2,124,1
2,125,11
2,126,2
2,127,0
2,128,11
2,129,1
2,130,0
2,131,11
2,132,1
2,133,0
2,134,1
2,135,0
2,136,1
2,137,0
2,138,1
2,139,0
2,140,1
2,141,0
2,142,1
2,143,11
2,144,2
2,145,0
2,146,11
2,147,1
2,148,0
2,149,1
2,150,0
2,151,1
2,152,0
2,153,1
2,154,0
2,155,1
2,156,0
2,157,1
2,158,0
2,159,11
2,160,1
2,161,2
2,162,0
2,163,1
2,164,0
2,165,11
2,166,1
2,167,0
2,168,11
2,169,1
2,170,0
2,171,1
2,172,0
2,173,1
2,174,10
2,175,11
2,176,1
2,177,11
2,178,0
2,179,1
2,180,2
2,181,0
2,182,1
2,183,0
2,184,11
2,185,1
2,186,0
2,187,1
2,188,0
2,189,1
2,190,0
2,191,11
2,192,1
2,193,0
2,194,1
2,195,0
2,196,1
2,197,2
2,198,0
2,199,11
2,200,1
2,201,0
2,202,1
2,203,11
2,204,0
2,205,1
2,206,0
2,207,1
2,208,11
2,209,0
2,210,1
2,211,0
2,212,1
2,213,0
2,214,1
2,215,2
2,216,0
2,217,11
2,218,1
2,219,0
2,220,1
2,221,0
2,222,1
2,223,0
2,224,1
2,225,11
2,226,0
2,227,10
2,228,0
2,229,1
2,230,0
2,231,11
2,232,1
2,233,2
2,234,11
2,235,0
2,236,1
2,237,0
2,238,11
2,239,1
3,0,2
3,1,0
3,2,1
3,3,0
3,4,1
3,5,0
3,6,11
3,7,1
3,8,11
3,9,0
3,10,1
3,11,11
3,12,0
3,13,11
3,14,1
3,15,11
3,16,0
3,17,1
3,18,0
3,19,1
3,20,2
3,21,0
3,22,1
3,23,0
3,24,1
3,25,0
3,26,1
3,27,0
3,28,1
3,29,0
3,30,11
3,31,1
3,32,11
3,33,0
3,34,1
3,35,0
3,36,1
3,37,11
3,38,2
3,39,0
3,40,1
3,41,0
3,42,11
3,43,1
3,44,0
3,45,1
3,46,0
3,47,1
3,48,0
3,49,1
3,50,0
3,51,1
3,52,0
3,53,1
3,54,2
3,55,0
3,56,1
3,57,0
3,58,11
3,59,1
3,60,0
3,61,1
3,62,0
3,63,1
3,64,0
3,65,1
3,66,0
3,67,1
3,68,11
3,69,0
3,70,1
3,71,2
3,72,0
3,73,1
3,74,11
3,75,0
3,76,1
3,77,0
3,78,1
3,79,11
3,80,0
3,81,1
3,82,10
3,83,1
3,84,11
3,85,0
3,86,1
3,87,0
3,88,11
3,89,1
3,90,2
3,91,0
3,92,11
3,93,1
3,94,0
3,95,1
3,96,0
3,97,11
3,98,1
3,99,0
3,100,11
3,101,1
3,102,0
3,103,1
3,104,0
3,105,1
3,106,0
3,107,11
3,108,1
3,109,2
3,110,0
3,111,1
3,112,0
3,113,1
3,114,0
3,115,1
3,116,0
3,117,1
3,118,11
3,119,0
3,120,11
3,121,1
3,122,0
3,123,11
3,124,1
3,125,0
3,126,1
3,127,2
3,128,11
3,129,0
3,130,1
3,131,0
3,132,10
3,133,0
3,134,1
3,135,0
3,136,11
3,137,1
3,138,0
3,139,1
3,140,11
3,141,0
3,142,1
3,143,0
3,144,1
3,145,2
3,146,0
3,147,1
3,148,0
3,149,1
3,150,0
3,151,11
3,152,1
3,153,0
3,154,1
3,155,0
3,156,1
3,157,0
3,158,1
3,159,0
3,160,1
3,161,11
3,162,2
3,163,0
3,164,1
3,165,0
3,166,1
3,167,11
3,168,0
3,169,1
3,170,11
3,171,0
3,172,1
3,173,0
3,174,1
3,175,10
3,176,1
3,177,11
3,178,0
3,179,1
3,180,2
3,181,11
3,182,0
3,183,1
3,184,0
3,185,11
3,186,1
3,187,0
3,188,1
3,189,0
3,190,11
3,191,1
3,192,0
3,193,1
3,194,0
3,195,1
3,196,0
3,197,11
3,198,1
3,199,11
3,200,2
3,201,0
3,202,1
3,203,0
3,204,1
3,205,0
3,206,1
3,207,0
3,208,1
3,209,0
3,210,10
3,211,0
3,212,1
3,213,11
3,214,0
3,215,11
3,216,1
3,217,2
3,218,0
3,219,1
3,220,0
3,221,1
3,222,0
3,223,1
3,224,0
3,225,11
3,226,1
3,227,11
3,228,0
3,229,1
3,230,0
3,231,1
3,232,0
3,233,1
3,234,11
3,235,2
3,236,0
3,237,1
3,238,0
3,239,1
4,0,0
4,1,1
4,2,0
4,3,11
4,4,1
4,5,0
4,6,1
4,7,11
4,8,0
4,9,1
4,10,0
4,11,1
4,12,0
4,13,1
4,14,0
4,15,1
4,16,0
4,17,1
4,18,11
4,19,0
4,20,1
4,21,0
4,22,11
4,23,1
4,24,0
4,25,1
4,26,0
4,27,1
4,28,11
4,29,0
4,30,1
4,31,0
4,32,1
4,33,0
4,34,1
4,35,11
4,36,0
4,37,11
4,38,1
4,39,0
4,40,1
4,41,11
4,42,0
4,43,1
4,44,0
4,45,11
4,46,1
4,47,0
4,48,1
4,49,0
4,50,11
4,51,1
4,52,0
4,53,1
4,54,0
4,55,1
4,56,0
4,57,1
4,58,0
4,59,1
4,60,0
4,61,11
4,62,1
4,63,0
4,64,11
4,65,1
4,66,0
4,67,1
4,68,0
4,69,1
4,70,0
4,71,11
4,72,1
4,73,0
4,74,1
4,75,0
4,76,1
4,77,0
4,78,1
4,79,11
4,80,0
4,81,11
4,82,1
4,83,0
4,84,1
4,85,0
4,86,1
4,87,0
4,88,1
4,89,0
4,90,1
4,91,0
4,92,1
4,93,0
4,94,11
4,95,1
4,96,0
4,97,11
4,98,1
4,99,11
4,100,0
4,101,11
4,102,1
4,103,0
4,104,1
4,105,0
4,106,1
4,107,0
4,108,1
4,109,0
4,110,1
4,111,0
4,112,11
4,113,1
4,114,0
4,115,1
4,116,0
4,117,1
4,118,0
4,119,1
4,120,0
4,121,1
4,122,0
4,123,1
4,124,0
4,125,1
4,126,0
4,127,11
4,128,1
4,129,11
4,130,0
4,131,1
4,132,11
4,133,0
4,134,1
4,135,0
4,136,1
4,137,11
4,138,0
4,139,1
4,140,0
4,141,11
4,142,1
4,143,0
4,144,1
4,145,0
4,146,1
4,147,0
4,148,1
4,149,0
4,150,1
4,151,0
4,152,1
4,153,11
4,154,0
4,155,1
4,156,11
4,157,0
4,158,1
4,159,11
4,160,0
4,161,1
4,162,0
4,163,1
4,164,0
4,165,1
4,166,0
4,167,1
4,168,0
4,169,11
4,170,1
4,171,0
4,172,1
4,173,0
4,174,11
4,175,1
4,176,0
4,177,1
4,178,0
4,179,1
4,180,0
4,181,1
4,182,11
4,183,0
4,184,1
4,185,0
4,186,1
4,187,0
4,188,1
4,189,0
4,190,1
4,191,0
4,192,1
4,193,11
4,194,0
4,195,11
4,196,1
4,197,11
4,198,0
4,199,1
4,200,0
4,201,1
4,202,0
4,203,1
4,204,0
4,205,11
4,206,1
4,207,0
4,208,1
4,209,0
4,210,1
4,211,0
4,212,1
4,213,0
4,214,1
4,215,11
4,216,0
4,217,1
4,218,0
4,219,1
4,220,0
4,221,1
4,222,0
4,223,1
4,224,11
4,225,0
4,226,1
4,227,0
4,228,11
4,229,1
4,230,0
4,231,1
4,232,0
4,233,11
4,234,1
4,235,0
4,236,1
4,237,0
4,238,11
4,239,1
5,0,11
5,1,0
5,2,2
5,3,11
5,4,0
5,5,2
5,6,0
5,7,2
5,8,0
5,9,2
5,10,0
5,11,2
5,12,0
5,13,11
5,14,2
5,15,0
5,16,2
5,17,0
5,18,2
5,19,0
5,20,2
5,21,11
5,22,0
5,23,2
5,24,11
5,25,0
5,26,2
5,27,0
5,28,2
5,29,0
5,30,2
5,31,0
5,32,2
5,33,0
5,34,2
5,35,0
5,36,2
5,37,0
5,38,2
5,39,11
5,40,0
5,41,2
5,42,0
5,43,2
5,44,0
5,45,11
5,46,2
5,47,11
5,48,0
5,49,2
5,50,0
5,51,2
5,52,0
5,53,2
5,54,11
5,55,0
5,56,2
5,57,0
