Sequence,Event,EventCat
0,0,2
0,1,0
0,2,11
0,3,1
0,4,0
0,5,1
0,6,0
0,7,1
0,8,0
0,9,1
0,10,0
0,11,1
0,12,0
0,13,11
0,14,1
0,15,11
0,16,0
0,17,1
0,18,11
0,19,2
0,20,0
0,21,1
0,22,11
0,23,0
0,24,1
0,25,0
0,26,1
0,27,0
0,28,1
0,29,0
0,30,1
0,31,0
0,32,1
0,33,0
0,34,1
0,35,2
0,36,0
0,37,11
0,38,1
0,39,0
0,40,11
0,41,1
0,42,0
0,43,1
0,44,0
0,45,1
0,46,0
0,47,11
0,48,1
0,49,11
0,50,0
0,51,1
0,52,0
0,53,1
0,54,11
0,55,2
0,56,0
0,57,1
0,58,0
0,59,1
0,60,0
0,61,1
0,62,11
0,63,0
0,64,11
0,65,1
0,66,0
0,67,1
0,68,0
0,69,1
0,70,0
0,71,1
0,72,2
0,73,0
0,74,1
0,75,11
0,76,10
0,77,11
0,78,1
0,79,0
0,80,11
0,81,1
0,82,0
0,83,1
0,84,0
0,85,1
0,86,0
0,87,1
0,88,0
0,89,1
0,90,2
0,91,0
0,92,1
0,93,0
0,94,1
0,95,0
0,96,1
0,97,11
0,98,0
0,99,11
0,100,1
0,101,0
0,102,1
0,103,0
0,104,11
0,105,1
0,106,0
0,107,1
0,108,11
0,109,2
0,110,0
0,111,1
0,112,0
0,113,1
0,114,11
0,115,10
0,116,1
0,117,0
0,118,1
0,119,0
0,120,1
0,121,0
0,122,1
0,123,0
0,124,1
0,125,2
0,126,11
0,127,0
0,128,1
0,129,0
0,130,1
0,131,0
0,132,11
0,133,1
0,134,11
0,135,0
0,136,1
0,137,0
0,138,11
0,139,1
0,140,0
0,141,1
0,142,0
0,143,11
0,144,1
0,145,2
0,146,0
0,147,1
0,148,0
0,149,1
0,150,0
0,151,1
0,152,0
0,153,1
0,154,0
0,155,1
0,156,0
0,157,11
0,158,1
0,159,0
0,160,1
0,161,2
0,162,0
0,163,11
0,164,1
0,165,0
0,166,1
0,167,0
0,168,1
0,169,0
0,170,11
0,171,1
0,172,0
0,173,1
0,174,0
0,175,11
0,176,1
0,177,11
0,178,0
0,179,1
0,180,2
0,181,0
0,182,1
0,183,0
0,184,1
0,185,0
0,186,10
0,187,0
0,188,1
0,189,0
0,190,11
0,191,1
0,192,0
0,193,11
0,194,1
0,195,0
0,196,1
0,197,11
0,198,2
0,199,0
0,200,1
0,201,10
0,202,1
0,203,0
0,204,1
0,205,11
0,206,0
0,207,1
0,208,11
0,209,0
0,210,11
0,211,1
0,212,0
0,213,1
0,214,0
0,215,11
0,216,1
0,217,11
0,218,2
0,219,0
0,220,1
0,221,0
0,222,1
0,223,11
0,224,0
0,225,1
0,226,0
0,227,1
0,228,0
0,229,1
0,230,0
0,231,11
0,232,1
0,233,0
0,234,1
0,235,2
0,236,0
0,237,1
0,238,0
0,239,1
1,0,0
1,1,2
1,2,0
1,3,2
1,4,0
1,5,2
1,6,11
1,7,0
1,8,2
1,9,0
1,10,2
1,11,0
1,12,2
1,13,11
1,14,0
1,15,11
1,16,2
1,17,0
1,18,2
1,19,0
1,20,2
1,21,0
1,22,11
1,23,2
1,24,0
1,25,11
1,26,2
1,27,0
1,28,2
1,29,0
1,30,2
1,31,0
1,32,2
1,33,11
1,34,0
1,35,2
1,36,0
1,37,2
1,38,0
1,39,2
1,40,0
1,41,2
1,42,0
1,43,2
1,44,11
1,45,0
1,46,2
1,47,0
1,48,2
1,49,11
1,50,0
1,51,11
1,52,2
1,53,0
1,54,2
1,55,0
1,56,2
1,57,11
1,58,0
1,59,2
1,60,0
1,61,1
1,62,0
1,63,1
1,64,0
1,65,1
1,66,0
1,67,1
1,68,11
1,69,0
1,70,1
1,71,0
1,72,1
1,73,11
1,74,0
1,75,1
1,76,0
1,77,1
1,78,0
1,79,1
1,80,0
1,81,11
1,82,1
1,83,11
1,84,0
1,85,1
1,86,0
1,87,1
1,88,11
1,89,0
1,90,1
1,91,0
1,92,1
1,93,0
1,94,11
1,95,1
1,96,0
1,97,11
1,98,1
1,99,0
1,100,10
1,101,0
1,102,1
1,103,0
1,104,1
1,105,0
1,106,1
1,107,0
1,108,11
1,109,1
1,110,0
1,111,1
1,112,0
1,113,1
1,114,0
1,115,11
1,116,1
1,117,11
1,118,0
1,119,1
1,120,0
1,121,2
1,122,0
1,123,2
1,124,9
1,125,11
1,126,2
1,127,0
1,128,2
1,129,0
1,130,11
1,131,2
1,132,0
1,133,11
1,134,2
1,135,0
1,136,2
1,137,0
1,138,2
1,139,11
1,140,0
1,141,2
1,142,0
1,143,11
1,144,2
1,145,0
1,146,2
1,147,0
1,148,2
1,149,0
1,150,11
1,151,2
1,152,0
1,153,2
1,154,0
1,155,2
1,156,11
1,157,0
1,158,2
1,159,0
1,160,2
1,161,0
1,162,9
1,163,0
1,164,2
1,165,0
1,166,2
1,167,11
1,168,0
1,169,2
1,170,0
1,171,2
1,172,0
1,173,2
1,174,11
1,175,0
1,176,11
1,177,2
1,178,0
1,179,2
1,180,0
1,181,1
1,182,0
1,183,1
1,184,11
1,185,0
1,186,1
1,187,0
1,188,1
1,189,11
1,190,0
1,191,1
1,192,0
1,193,1
1,194,0
1,195,1
1,196,0
1,197,1
1,198,0
1,199,11
1,200,1
1,201,11
1,202,0
1,203,1
1,204,11
1,205,0
1,206,1
1,207,0
1,208,1
1,209,0
1,210,1
1,211,0
1,212,1
1,213,11
1,214,0
1,215,1
1,216,0
1,217,1
1,218,0
1,219,11
1,220,1
1,221,0
1,222,11
1,223,1
1,224,11
1,225,0
1,226,1
1,227,0
1,228,1
1,229,0
1,230,10
1,231,0
1,232,1
1,233,0
1,234,11
1,235,1
1,236,0
1,237,1
1,238,0
1,239,1
2,0,11
2,1,2
2,2,11
2,3,0
2,4,1
2,5,0
2,6,1
2,7,0
2,8,1
2,9,0
2,10,1
2,11,0
2,12,1
2,13,0
2,14,11
2,15,1
2,16,11
2,17,0
2,18,1
2,19,11
2,20,2
2,21,0
2,22,1
2,23,0
2,24,1
2,25,0
2,26,1
2,27,0
2,28,1
2,29,0
2,30,1
2,31,11
2,32,0
2,33,1
2,34,0
2,35,1
2,36,2
2,37,0
