participant,anomalyID,sequenceID,id,eventCat,is_detected,reactionTime_seconds,automatic_detection,version,run_order,dataset,pattern,gender,age,education,experience,general_difficulty,automatic_detection_helpful,history_helpful,difficult_v1,difficult_v2,difficult_v3,difficult_v4,preference_v1,preference_v2,preference_v3,preference_v4,recall,precision,F1,TP,FN,FP
18,0,0.0,143.0,10,True,4.318,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,1,0.0,179.0,10,True,19.697,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,2,0.0,212.0,10,True,22.615,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,3,1.0,63.0,10,True,19.983,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,4,1.0,112.0,10,True,11.348,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,5,1.0,185.0,10,True,8.586,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,6,1.0,203.0,10,True,14.538,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,7,4.0,85.0,10,True,8.077,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,8,4.0,116.0,10,True,2.979,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,9,4.0,170.0,10,True,3.995,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,10,4.0,222.0,10,True,2.767,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,11,5.0,63.0,1,False,27.549,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,12,5.0,69.0,10,True,20.598,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,13,5.0,119.0,1,False,14.359,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,14,5.0,219.0,10,True,32.602,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,15,7.0,190.0,10,True,8.693,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,16,7.0,202.0,10,True,24.07,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,17,8.0,66.0,10,True,5.752,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,18,8.0,141.0,9,True,53.462,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,19,8.0,166.0,9,True,17.319,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,20,8.0,204.0,10,True,41.078,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,21,10.0,131.0,10,True,14.643,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,22,10.0,169.0,10,True,20.79,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,23,11.0,63.0,10,True,15.592,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,24,11.0,133.0,10,True,13.739,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
