participant,version,metric
4,window+ad,44.77
4,window,42.33
4,history,45.93
4,history+ad,36.13
6,history+ad,14.22
6,history,25.78
6,window+ad,15.98
6,window,40.58
7,history,26.64
7,window,49.03
7,history+ad,17.6
7,window+ad,29.73
8,history,26.82
8,window+ad,19.75
8,window,13.9
8,history+ad,30.11
9,window+ad,19.74
9,window,34.46
9,history,36.84
9,history+ad,21.36
10,window,22.51
10,window+ad,50.4
10,history,20.27
10,history+ad,36.89
11,history,22.32
11,window+ad,11.67
11,window,20.29
11,history+ad,6.82
12,history,13.74
12,window+ad,24.2
12,window,25.32
12,history+ad,31.03
13,history,63.85
13,window+ad,43.63
13,history+ad,29.19
13,window,45.26
14,history,55.23
14,window,49.8
14,window+ad,32.04
14,history+ad,34.59
15,history+ad,11.04
15,window+ad,30.69
15,history,17.0
15,window,45.68
16,history,21.8
16,window+ad,29.38
16,history+ad,42.37
16,window,20.05
17,history+ad,29.52
17,window,27.24
17,history,33.82
17,window+ad,15.63
18,window+ad,16.84
18,window,9.68
18,history,37.17
18,history+ad,6.48
20,window+ad,12.92
20,history,14.97
20,history+ad,25.6
20,window,12.07
24,history+ad,33.68
24,window,25.4
24,history,40.11
24,window+ad,33.02
25,history+ad,38.09
25,history,51.19
25,window+ad,31.79
25,window,38.2
26,history,18.37
26,window+ad,10.78
26,history+ad,31.05
26,window,39.42
27,window,19.64
27,history+ad,44.15
27,window+ad,47.84
27,history,46.95
29,window+ad,13.86
29,history,45.74
29,history+ad,11.01
29,window,28.38
31,history,31.42
31,history+ad,31.0
31,window,41.63
31,window+ad,35.49
32,window+ad,31.31
32,window,11.25
32,history,28.77
32,history+ad,19.51
33,history,21.06
33,window,22.75
33,window+ad,24.51
33,history+ad,12.79
34,history,30.3
34,history+ad,35.21
34,window+ad,24.69
34,window,35.34
35,window+ad,21.45
35,window,26.99
35,history+ad,20.0
35,history,43.01
36,window+ad,22.73
36,history,17.08
36,window,10.8
36,history+ad,10.94
37,history+ad,42.06
37,window+ad,54.62
37,window,55.54
37,history,50.85
38,window,7.19
38,window+ad,23.64
38,history+ad,25.7
38,history,11.31
39,window,42.21
39,history,40.14
39,history+ad,30.91
39,window+ad,23.85
41,history+ad,8.7
41,history,12.32
41,window+ad,17.68
41,window,22.88
42,history+ad,18.6
42,history,53.08
42,window+ad,24.47
42,window,19.15
43,window+ad,14.38
43,window,10.19
43,history+ad,32.3
43,history,22.96
44,window+ad,34.2
44,history+ad,32.51
44,window,17.5
44,history,20.87
45,window+ad,36.66
45,window,33.04
45,history,41.78
45,history+ad,33.47
47,history+ad,13.41
47,window+ad,9.25
47,window,15.14
47,history,13.29
49,history+ad,12.65
49,window,32.85
49,history,36.44
49,window+ad,23.98
50,window,36.47
50,history,18.39
50,window+ad,22.63
50,history+ad,20.98
51,history+ad,16.52
51,history,24.5
51,window+ad,10.76
51,window,25.74
52,history,37.49
52,window+ad,35.35
52,window,43.78
52,history+ad,48.16
53,history,27.04
53,window,28.46
53,window+ad,12.89
53,history+ad,39.24
56,history+ad,15.11
56,window,38.09
56,history,22.58
56,window+ad,26.66
58,history+ad,30.15
58,history,16.36
58,window,12.87
58,window+ad,34.9
59,history+ad,14.98
59,window,11.65
59,history,47.43
59,window+ad,12.67
60,history,25.57
60,window,10.35
60,history+ad,13.28
60,window+ad,33.35
62,window+ad,32.11
62,history+ad,35.69
62,window,14.7
62,history,20.08
63,history,24.22
63,window,34.98
63,history+ad,19.14
63,window+ad,27.11
64,history+ad,63.98
64,window,39.11
64,history,44.92
64,window+ad,42.88
65,history+ad,14.31
65,history,15.1
65,window+ad,18.24
65,window,36.4
66,window+ad,14.82
66,history+ad,11.83
66,history,55.26
66,window,15.09
67,history,22.61
67,window+ad,36.96
67,history+ad,29.39
67,window,34.09
68,window+ad,12.28
68,window,5.77
68,history+ad,9.13
68,history,16.08
70,window+ad,43.12
70,history+ad,31.82
70,history,32.55
70,window,25.76
73,window,48.62
73,history+ad,39.59
73,history,50.38
73,window+ad,53.93
