participant,window,history,window_ad,history_ad
18,0.6,0.67,0.79,0.57
43,0.51,0.93,0.59,0.84
51,0.74,0.87,0.6,0.76
42,0.49,0.59,0.79,0.33
12,0.7,0.93,0.93,0.78
52,0.68,0.26,0.77,0.28
63,0.93,0.94,0.86,1
44,0.73,0.55,0.83,0.73
32,0.59,0.61,0.76,0.88
27,0.4,0.45,0.4,0.51
47,0.47,0.42,0.51,0.42
56,0.66,0.66,0.9,0.99
29,0.43,0.5,0.4,0.43
58,0.93,0.89,0.6,0.86
31,0.69,0.79,0.97,0.79
10,0.61,0.6,0.47,0.46
4,0.32,0.46,0.41,0.56
60,0.56,0.53,0.62,0.44
36,0.82,0.82,0.79,0.74
7,0.63,0.78,0.86,0.89
49,0.52,0.44,0.54,0.57
59,0.55,0.22,0.49,0.3
6,0.77,0.9,0.97,0.96
50,0.72,0.58,0.79,0.89
11,0.88,0.67,0.5,0.54
33,0.82,0.86,0.51,0.93
38,0.85,0.78,0.72,0.7
70,0.75,0.55,0.81,0.78
41,0.79,0.62,0.79,0.86
53,0.4,0.82,0.53,0.56
34,0.27,0.8,0.23,0.59
45,0.69,0.59,0.41,0.63
37,0.51,0.68,0.52,0.75
35,0.74,0.67,0.68,0.28
68,0.94,0.71,0.91,0.85
24,0.66,0.77,0.84,0.74
65,0.91,0.77,0.84,0.89
39,0.61,0.7,0.86,0.79
17,0.84,0.68,0.81,0.93
62,0.82,0.77,0.79,0.59
67,0.68,0.76,0.7,0.69
20,0.68,0.59,0.57,0.55
25,0.81,0.47,0.75,0.62
8,0.44,0.6,0.68,0.85
16,0.57,0.55,0.54,0.84
15,0.73,0.59,0.88,0.68
26,0.5,0.47,0.51,0.65
13,0.24,0.54,0.46,0.63
64,0.64,0.59,0.72,0.69
66,0.24,0.29,0.89,0.71
14,0.77,0.41,0.58,0.38
73,0.39,0.36,0.67,0.58
9,0.86,0.77,0.42,0.71
