participant,window,history,window+ad,history+ad
18,5,16,11,4
43,10,4,3,10
51,15,7,19,12
42,10,14,12,22
12,10,5,3,11
52,13,30,12,29
63,5,4,9,0
44,9,10,7,11
32,3,11,11,6
27,16,12,20,11
47,13,16,16,18
56,12,5,4,1
29,23,20,25,26
58,3,7,17,9
31,16,11,1,9
10,4,4,19,13
4,27,20,21,15
60,5,11,1,15
36,8,11,11,12
7,19,13,8,7
49,16,16,11,6
59,15,30,20,27
6,11,5,2,3
50,15,20,11,7
11,8,16,17,17
33,11,8,23,5
38,7,11,13,14
70,13,21,11,13
41,9,11,10,8
53,27,11,20,18
34,30,10,30,21
45,17,21,24,19
37,21,16,23,13
35,15,18,15,30
68,4,12,5,7
24,15,10,9,13
65,4,10,9,5
39,19,16,9,9
17,9,12,6,5
62,8,10,11,11
67,17,14,16,17
20,3,11,0,4
25,11,25,13,17
8,20,19,13,8
16,11,17,13,8
15,9,8,8,7
26,23,21,8,13
13,31,21,24,19
64,15,17,13,15
66,31,30,7,11
14,13,25,20,25
73,24,26,6,10
9,6,12,26,12
