participant,window,history,window+ad,history+ad
18,37,4,2,45
43,40,1,43,0
51,0,2,4,3
42,43,17,1,35
12,12,0,2,3
52,9,4,2,7
63,0,0,0,0
44,11,33,5,7
32,43,21,5,2
27,43,47,29,38
47,39,39,22,32
56,13,27,3,0
29,11,12,8,1
58,2,0,8,0
31,2,2,1,5
10,37,39,19,42
4,11,18,23,18
60,43,33,42,38
36,4,0,2,5
7,1,0,1,0
49,21,35,31,40
59,19,12,13,15
6,4,2,0,0
50,1,3,2,0
11,0,4,21,15
33,0,1,2,0
38,3,3,5,5
70,2,4,1,0
41,5,20,4,1
53,0,0,8,10
34,2,3,9,0
45,0,0,10,1
37,8,3,1,2
35,0,0,5,1
68,0,8,1,3
24,7,6,1,3
65,2,6,1,3
39,3,1,0,5
17,1,11,8,0
62,4,6,2,24
67,1,0,1,0
20,28,23,55,48
25,1,0,2,6
8,21,4,9,2
16,26,14,26,3
15,11,31,0,20
26,3,13,47,12
13,0,5,4,1
64,9,9,5,4
66,1,0,0,9
14,1,7,3,11
73,13,10,24,28
9,4,2,2,8
