participant,window,history,window+ad,history+ad
18,31,20,25,32
43,26,32,33,26
51,21,29,17,24
42,26,22,24,14
12,26,31,33,25
52,23,6,24,7
63,31,32,27,36
44,27,26,29,25
32,33,25,25,30
27,20,24,16,25
47,23,20,20,18
56,24,31,32,35
29,13,16,11,10
58,33,29,19,27
31,20,25,35,27
10,32,32,17,23
4,9,16,15,21
60,31,25,35,21
36,28,25,25,24
7,17,23,28,29
49,20,20,25,30
59,21,6,16,9
6,25,31,34,33
50,21,16,25,29
11,28,20,19,19
33,25,28,13,31
38,29,25,23,22
70,23,15,25,23
41,27,25,26,28
53,9,25,16,18
34,6,26,6,15
45,19,15,12,17
37,15,20,13,23
35,21,18,21,6
68,32,24,31,29
24,21,26,27,23
65,32,26,27,31
39,17,20,27,27
17,27,24,30,31
62,28,26,25,25
67,19,22,20,19
20,33,25,36,32
25,25,11,23,19
8,16,17,23,28
16,25,19,23,28
15,27,28,28,29
26,13,15,28,23
13,5,15,12,17
64,21,19,23,21
66,5,6,29,25
14,23,11,16,11
73,12,10,30,26
9,30,24,10,24
