participant,window,history,window+ad,history+ad
18,0.46,0.83,0.93,0.42
43,0.39,0.97,0.43,1.0
51,1.0,0.94,0.81,0.89
42,0.38,0.56,0.96,0.29
12,0.68,1.0,0.94,0.89
52,0.72,0.6,0.92,0.5
63,1.0,1.0,1.0,1.0
44,0.71,0.44,0.85,0.78
32,0.43,0.54,0.83,0.94
27,0.32,0.34,0.36,0.4
47,0.37,0.34,0.48,0.36
56,0.65,0.53,0.91,1.0
29,0.54,0.57,0.58,0.91
58,0.94,1.0,0.7,1.0
31,0.91,0.93,0.97,0.84
10,0.46,0.45,0.47,0.35
4,0.45,0.47,0.4,0.54
60,0.42,0.43,0.46,0.36
36,0.88,1.0,0.93,0.83
7,0.94,1.0,0.97,1.0
49,0.49,0.36,0.45,0.43
59,0.53,0.33,0.55,0.38
6,0.86,0.94,1.0,1.0
50,0.95,0.84,0.93,1.0
11,1.0,0.83,0.47,0.56
33,1.0,0.97,0.87,1.0
38,0.91,0.89,0.82,0.81
70,0.92,0.79,0.96,1.0
41,0.84,0.56,0.87,0.97
53,1.0,1.0,0.67,0.64
34,0.75,0.9,0.4,1.0
45,1.0,1.0,0.55,0.94
37,0.65,0.87,0.93,0.92
35,1.0,1.0,0.81,0.86
68,1.0,0.75,0.97,0.91
24,0.75,0.81,0.96,0.89
65,0.94,0.81,0.96,0.91
39,0.85,0.95,1.0,0.84
17,0.96,0.69,0.79,1.0
62,0.88,0.81,0.93,0.51
67,0.95,1.0,0.95,1.0
20,0.54,0.52,0.4,0.4
25,0.96,1.0,0.92,0.76
8,0.43,0.81,0.72,0.93
16,0.49,0.58,0.47,0.9
15,0.71,0.47,1.0,0.59
26,0.81,0.54,0.37,0.66
13,1.0,0.75,0.75,0.94
64,0.7,0.68,0.82,0.84
66,0.83,1.0,1.0,0.73
14,0.96,0.61,0.84,0.5
73,0.48,0.5,0.56,0.48
9,0.88,0.92,0.83,0.75
