anomaly_difficulty,automatic_detection_helpful,automatic_detection_helpful_explanation,history_helpful,history_helpful_explanation,difficult_v1,difficult_v2,difficult_v3,difficult_v4,preference_v1,preference_v2,preference_v3,preference_v4,issues_or_interruptions,participant
2,6,"Especially in the runs where the blobs ´crunched´ I could not keep track of all runs at the same time, so then it was nice to have a focus where the system triggered me to pay attention.",1,It did not help me deduce the patterns.,3,4,1,2,4,1,3,2,"My mouse did not respond as quickly as it does (now) using other programs, so I am expecting it to have been caused by this program.",18
2,5,"Although it was incorrect quite often, it did draw your attention quickly to potential anomalies. On the other hand, it could be that due to my attention getting drawn by the red borders, that i have missed some other anomalies.",2,,3,4,1,2,2,1,4,3,,43
2,3,It was not that helpful because you still had to check if it didn't miss anything and if it detected the right ones,4,-,4,3,2,1,1,2,3,4,no,51
2,6,"`Guides the eye, gives something to focus on and helps in training",3,"Distracting and first, but data accumulated showed trend and provided extra interaction option (clicking in the compressed view) this gave insight for the next test.",4,3,1,2,2,1,4,3,"I only had automatic detection once, this was in the sliding window view the first time",42
2,5,"It gave me something to focus on, a starting point in the sea of blocks.",6,I found the smaller colored lines without the time gaps in between of the compressed view a lot more insightful. A lot easier to find anomalies and also to look at more than 1 streaming line at the same time.,1,2,3,4,4,3,2,1,No.,12
2,5,often the detection would indicate a wrong anomalie making you go over the entire sequance again causing a lot of time delay.,5,"the compressed view could be handy, the history was often ties more misleading then helpfull.",3,4,2,2,3,4,1,2,,52
2,2,The automatic detection borders distracted me when I tried to get in a certain flow. It is something extra to pay attention to making it distracting.,6,For the long chains it was easier to see the distance between the orange blocks in that pattern.,2,1,4,3,2,4,1,3,No,63
3,3,Sometimes they were inaccurate so you had to waste time correcting them,5,The first time it was confusing but the last time it did help a bit to see the longer sequences clearly,4,3,2,1,1,3,2,4,No :),44
2,1,It felt like it was consistently taking starts of long patterns as anomalies and therefore costing more time than gaining.,6,"The aggregated view did very little for me, the compressed view allowed for better long pattern recognition.",3,1,4,2,2,4,1,3,No more than usual.,32
2,5,Yes the red borders were somewhat helpful. It's just difficult to keep track of all the predictions   together with the new sliding window data and analyze the other patterns as well.,7,I particularly liked the compressed view. It helped in detecting patterns more easily. Also because data changes more slowly in this view.,1,2,3,4,4,3,2,1,No.,27
2,5,"In some cases it was not correct, and then you need to spend time to correct it.",2,I did not look at it at all,1,4,2,3,4,2,3,1,"yes, first try it did not work. Needed to re-enter via email",47
2,5,"I think what was marked draw my attention, which was good for thinking about the streams. However, my attention towards the none marked tiles got lost.",7,"It was easier to see what the streams should be like, instead of having to remember somewhat what the stream was. Especially with long streams.",1,3,2,4,4,3,2,1,"None 
(One small remark on the ranking, I do not have ADHD, but I think I now know what it would feel like with just the sliding window views. Too much stuff was on the screen making me lose focus way faster than the compressed views.)",56
1,3,I ended up mainly checking the automatically detected blocks and checked too little the other ones.,2,"It helped in determining if a specific color should exist or not, but on the other hand, it decreased the window for the standard view of the cells, which made it less useable.",1,2,3,4,1,2,3,4,No,29
2,2,"It took away my overview, because an extra element was added which I had to keep an eye on. Only scanning the pattern for anomalies was easier for me than also looking at the automatically detected blocks.",4,"It was a bit easier to remember what pattern was in what row, however it also was difficult to see how many blocks were in the compressed view.",4,2,3,1,1,3,2,4,,58
2,2,I felt like the algorithm made errors frequently en therefore I couldn't trust it,5,Detecting short patterns was easier in this view. The longer patterns were more difficult since it's hard to count blocks (in general),3,3,3,3,2,4,1,3,No,31
2,5,It took me a while to get used to the gaps.,6,The compression made it easier to oversee a longer sequence.,3,4,1,2,2,1,4,3,No,10
2,5,"Gives you better focus point to find the anomalies. However, does not always recognize a pattern so you have to check the suggestion",7,Patterns were easier spotted,1,2,3,4,4,3,2,1,-,4
2,5,A pattern change was not well recognized by the red blocks.,4,The long patterns were hard to spot if there was a pattern change before.,3,4,1,2,3,4,1,2,No.,60
2,2,I have to look everywhere anyway and I sometimes forgot what the red and blue borders meant and what mousekey to click,6,the compressed view did as patterns are more clearly identifiable when they are longer. The aggregated view is not very helpful as you don't know whether small percentages are part of the pattern of historic anomalies.,2,1,4,3,3,4,1,2,No,36
2,5,I help getting my attention but I also had to check everytime,4,Only a couple of times,4,2,1,3,3,2,4,1,,7
2,6,"It did guide me towards blocks that could be wrong making it easier and faster to find the anomalies, however,all other blocks needed to be checked too for anomalies that might be missed by the automatic detection which I felt that I sometimes might have forgotten to do. On the flip side, because the automatic detection made me faster, when I did check for anomalies that were not dettected it felt like I had more time to find these ones.",4,"I'm not sure, both with and without history felt like they had some advantages. However, the task was difficult in both cases. Maybe the history slightly improved the situation but then very slighty.",1,3,2,4,4,2,3,1,No,49
