participant,anomalyID,sequenceID,id,eventCat,is_detected,reactionTime_seconds,automatic_detection,version,run_order,dataset,pattern,gender,age,education,experience,general_difficulty,automatic_detection_helpful,history_helpful,difficult_v1,difficult_v2,difficult_v3,difficult_v4,preference_v1,preference_v2,preference_v3,preference_v4,recall,precision,F1,TP,FN,FP
18,0,0.0,82.0,10,False,,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,1,0.0,143.0,10,True,4.318,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,2,0.0,179.0,10,True,19.697,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,3,0.0,212.0,10,True,22.615,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,4,1.0,63.0,10,True,19.983,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,5,1.0,112.0,10,True,11.348,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,6,1.0,185.0,10,True,8.586,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,7,1.0,203.0,10,True,14.538,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,8,3.0,89.0,10,False,,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,9,3.0,137.0,10,False,,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,10,3.0,155.0,10,False,,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,11,3.0,218.0,10,False,,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,12,4.0,85.0,10,True,8.077,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,13,4.0,116.0,10,True,2.979,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,14,4.0,170.0,10,True,3.995,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,15,4.0,222.0,10,True,2.767,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,16,5.0,69.0,10,True,20.598,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,17,5.0,118.0,10,False,15.346,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,18,5.0,173.0,9,False,,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,19,5.0,219.0,10,True,32.602,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,20,7.0,84.0,10,False,,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,21,7.0,142.0,9,False,,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,22,7.0,190.0,10,True,8.693,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,23,7.0,202.0,10,True,24.07,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,24,8.0,66.0,10,True,5.752,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,25,8.0,141.0,9,True,53.462,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,26,8.0,166.0,9,True,17.319,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,27,8.0,204.0,10,True,41.078,False,window+ad,1,dataset3,change,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,28,10.0,88.0,10,False,,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,29,10.0,131.0,10,True,14.643,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,30,10.0,169.0,10,True,20.79,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,31,10.0,233.0,10,False,,False,window+ad,1,dataset3,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,32,11.0,63.0,10,True,15.592,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,33,11.0,133.0,10,True,13.739,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,34,11.0,171.0,10,True,22.637,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,35,11.0,227.0,10,True,11.147,False,window+ad,1,dataset3,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.69,0.93,0.79,25,11,2
18,0,0.0,63.0,10,True,18.066,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,1,0.0,133.0,10,True,10.67,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,2,0.0,171.0,10,True,7.668,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,3,0.0,227.0,10,True,4.947,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,4,1.0,84.0,10,True,2.517,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,5,1.0,142.0,9,True,8.363,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,6,1.0,190.0,10,True,3.99,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,7,1.0,202.0,10,True,6.956,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,8,2.0,66.0,10,True,15.309,False,history+ad,2,dataset4,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,9,2.0,141.0,9,True,3.584,False,history+ad,2,dataset4,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,10,2.0,166.0,9,True,5.066,False,history+ad,2,dataset4,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,11,2.0,204.0,10,True,5.19,False,history+ad,2,dataset4,long,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,12,4.0,69.0,10,True,6.934,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,13,4.0,118.0,10,True,4.334,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,14,4.0,173.0,9,False,,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,15,4.0,219.0,10,True,3.992,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
18,16,5.0,88.0,10,False,,False,history+ad,2,dataset4,short,female,26-30,University master,Used it many times,2,6,1,3,4,1,2,4,1,3,2,0.89,0.42,0.57,32,4,45
